"","omaNumero","prosentti","loppuKaksi","loppuYksi"
"1",57,8.2,57,7
"2",626,7.2,26,6
"3",156,2.2,56,6
"4",526,2.2,26,6
"5",60,1.1,60,0
"6",622,1.1,22,2
"7",625,1.1,25,5
"8",160,0.8,60,0
"9",522,0.8,22,2
"10",157,0.7,57,7
"11",525,0.7,25,5
"12",58,0.7,58,8
"13",618,0.7,18,8
"14",64,0.7,64,4
"15",256,0.7,56,6
"16",426,0.7,26,6
"17",624,0.6,24,4
"18",555,0.6,55,5
"19",127,0.6,27,7
"20",114,0.6,14,4
"21",605,0.6,5,5
"22",568,0.6,68,8
"23",77,0.5,77,7
"24",164,0.5,64,4
"25",518,0.5,18,8
"26",158,0.5,58,8
"27",524,0.5,24,4
"28",227,0.5,27,7
"29",455,0.4,55,5
"30",260,0.4,60,0
"31",161,0.4,61,1
"32",468,0.4,68,8
"33",422,0.4,22,2
"34",521,0.4,21,1
"35",214,0.4,14,4
"36",505,0.4,5,5
"37",425,0.4,25,5
"38",177,0.4,77,7
"39",257,0.4,57,7
"40",61,0.4,61,1
"41",621,0.4,21,1
"42",264,0.3,64,4
"43",162,0.3,62,2
"44",418,0.3,18,8
"45",424,0.3,24,4
"46",261,0.3,61,1
"47",520,0.3,20,0
"48",165,0.3,65,5
"49",421,0.3,21,1
"50",228,0.3,28,8
"51",258,0.3,58,8
"52",497,0.3,97,7
"53",451,0.3,51,1
"54",447,0.3,47,7
"55",235,0.3,35,5
"56",517,0.3,17,7
"57",364,0.3,64,4
"58",464,0.3,64,4
"59",368,0.3,68,8
"60",231,0.3,31,1
"61",327,0.3,27,7
"62",397,0.3,97,7
"63",285,0.3,85,5
"64",185,0.3,85,5
"65",262,0.2,62,2
"66",420,0.2,20,0
"67",514,0.2,14,4
"68",168,0.2,68,8
"69",355,0.2,55,5
"70",322,0.2,22,2
"71",360,0.2,60,0
"72",454,0.2,54,4
"73",318,0.2,18,8
"74",326,0.2,26,6
"75",218,0.2,18,8
"76",620,0.2,20,0
"77",289,0.2,89,9
"78",328,0.2,28,8
"79",62,0.2,62,2
"80",617,0.2,17,7
"81",265,0.2,65,5
"82",356,0.2,56,6
"83",467,0.2,67,7
"84",314,0.2,14,4
"85",354,0.2,54,4
"86",501,0.2,1,1
"87",516,0.2,16,6
"88",135,0.2,35,5
"89",65,0.2,65,5
"90",453,0.2,53,3
"91",523,0.2,23,3
"92",343,0.2,43,3
"93",215,0.2,15,5
"94",414,0.2,14,4
"95",181,0.2,81,1
"96",419,0.2,19,9
"97",443,0.2,43,3
"98",446,0.2,46,6
"99",417,0.2,17,7
"100",159,0.2,59,9
"101",393,0.2,93,3
"102",166,0.2,66,6
"103",128,0.2,28,8
"104",266,0.2,66,6
"105",131,0.2,31,1
"106",547,0.2,47,7
"107",331,0.2,31,1
"108",361,0.2,61,1
"109",601,0.2,1,1
"110",81,0.2,81,1
"111",268,0.2,68,8
"112",416,0.2,16,6
"113",229,0.2,29,9
"114",564,0.2,64,4
"115",332,0.2,32,2
"116",504,0.2,4,4
"117",339,0.2,39,9
"118",293,0.2,93,3
"119",319,0.2,19,9
"120",389,0.2,89,9
"121",347,0.2,47,7
"122",614,0.2,14,4
"123",178,0.2,78,8
"124",346,0.2,46,6
"125",240,0.2,40,0
"126",363,0.2,63,3
"127",68,0.2,68,8
"128",551,0.2,51,1
"129",239,0.2,39,9
"130",554,0.2,54,4
"131",567,0.2,67,7
"132",324,0.2,24,4
"133",236,0.2,36,6
"134",259,0.2,59,9
"135",263,0.2,63,3
"136",341,0.2,41,1
"137",329,0.2,29,9
"138",351,0.2,51,1
"139",450,0.2,50,0
"140",336,0.2,36,6
"141",59,0.2,59,9
"142",232,0.2,32,2
"143",325,0.2,25,5
"144",340,0.2,40,0
"145",286,0.2,86,6
"146",362,0.2,62,2
"147",391,0.2,91,1
"148",519,0.2,19,9
"149",357,0.2,57,7
"150",115,0.2,15,5
"151",222,0.2,22,2
"152",335,0.2,35,5
"153",320,0.2,20,0
"154",342,0.2,42,2
"155",321,0.2,21,1
"156",353,0.2,53,3
"157",315,0.2,15,5
"158",337,0.2,37,7
"159",350,0.2,50,0
"160",118,0.2,18,8
"161",189,0.2,89,9
"162",367,0.2,67,7
"163",623,0.2,23,3
"164",358,0.2,58,8
"165",423,0.2,23,3
"166",163,0.2,63,3
"167",291,0.2,91,1
"168",460,0.2,60,0
"169",445,0.2,45,5
"170",237,0.2,37,7
"171",78,0.2,78,8
"172",345,0.2,45,5
"173",349,0.2,49,9
"174",434,0.2,34,4
"175",316,0.2,16,6
"176",392,0.2,92,2
"177",169,0.2,69,9
"178",513,0.2,13,3
"179",463,0.2,63,3
"180",333,0.2,33,3
"181",219,0.2,19,9
"182",396,0.2,96,6
"183",317,0.2,17,7
"184",604,0.2,4,4
"185",216,0.2,16,6
"186",287,0.2,87,7
"187",182,0.2,82,2
"188",186,0.2,86,6
"189",290,0.2,90,0
"190",267,0.2,67,7
"191",334,0.2,34,4
"192",395,0.2,95,5
"193",496,0.2,96,6
"194",442,0.2,42,2
"195",241,0.2,41,1
"196",390,0.2,90,0
"197",243,0.2,43,3
"198",348,0.2,48,8
"199",493,0.2,93,3
"200",366,0.2,66,6
"201",405,0.2,5,5
"202",500,0.2,0,0
"203",352,0.2,52,2
"204",248,0.2,48,8
"205",330,0.2,30,0
"206",385,0.2,85,5
"207",394,0.2,94,4
"208",433,0.2,33,3
"209",439,0.2,39,9
"210",359,0.2,59,9
"211",449,0.2,49,9
"212",452,0.2,52,2
"213",277,0.1,77,7
"214",553,0.1,53,3
"215",503,0.1,3,3
"216",616,0.1,16,6
"217",179,0.1,79,9
"218",292,0.1,92,2
"219",66,0.1,66,6
"220",466,0.1,66,6
"221",297,0.1,97,7
"222",233,0.1,33,3
"223",323,0.1,23,3
"224",597,0.1,97,7
"225",129,0.1,29,9
"226",344,0.1,44,4
"227",365,0.1,65,5
"228",401,0.1,1,1
"229",400,0.1,0,0
"230",415,0.1,15,5
"231",281,0.1,81,1
"232",441,0.1,41,1
"233",252,0.1,52,2
"234",230,0.1,30,0
"235",413,0.1,13,3
"236",187,0.1,87,7
"237",294,0.1,94,4
"238",242,0.1,42,2
"239",226,0.1,26,6
"240",295,0.1,95,5
"241",387,0.1,87,7
"242",249,0.1,49,9
"243",495,0.1,95,5
"244",282,0.1,82,2
"245",288,0.1,88,8
"246",338,0.1,38,8
"247",220,0.1,20,0
"248",432,0.1,32,2
"249",386,0.1,86,6
"250",404,0.1,4,4
"251",462,0.1,62,2
"252",512,0.1,12,2
"253",234,0.1,34,4
"254",459,0.1,59,9
"255",388,0.1,88,8
"256",430,0.1,30,0
"257",253,0.1,53,3
"258",85,0.1,85,5
"259",254,0.1,54,4
"260",122,0.1,22,2
"261",560,0.1,60,0
"262",223,0.1,23,3
"263",515,0.1,15,5
"264",440,0.1,40,0
"265",170,0.1,70,0
"266",296,0.1,96,6
"267",428,0.1,28,8
"268",136,0.1,36,6
"269",269,0.1,69,9
"270",429,0.1,29,9
"271",116,0.1,16,6
"272",167,0.1,67,7
"273",190,0.1,90,0
"274",250,0.1,50,0
"275",238,0.1,38,8
"276",270,0.1,70,0
"277",278,0.1,78,8
"278",399,0.1,99,9
"279",456,0.1,56,6
"280",546,0.1,46,6
"281",183,0.1,83,3
"282",79,0.1,79,9
"283",283,0.1,83,3
"284",427,0.1,27,7
"285",444,0.1,44,4
"286",499,0.1,99,9
"287",543,0.1,43,3
"288",603,0.1,3,3
"289",217,0.1,17,7
"290",139,0.1,39,9
"291",491,0.1,91,1
"292",492,0.1,92,2
"293",224,0.1,24,4
"294",221,0.1,21,1
"295",63,0.1,63,3
"296",412,0.1,12,2
"297",119,0.1,19,9
"298",461,0.1,61,1
"299",245,0.1,45,5
"300",247,0.1,47,7
"301",148,0.1,48,8
"302",448,0.1,48,8
"303",279,0.1,79,9
"304",566,0.1,66,6
"305",613,0.1,13,3
"306",534,0.1,34,4
"307",438,0.1,38,8
"308",435,0.1,35,5
"309",489,0.1,89,9
"310",244,0.1,44,4
"311",82,0.1,82,2
"312",436,0.1,36,6
"313",251,0.1,51,1
"314",191,0.1,91,1
"315",193,0.1,93,3
"316",246,0.1,46,6
"317",458,0.1,58,8
"318",431,0.1,31,1
"319",437,0.1,37,7
"320",550,0.1,50,0
"321",619,0.1,19,9
"322",255,0.1,55,5
"323",411,0.1,11,1
"324",403,0.1,3,3
"325",398,0.1,98,8
"326",188,0.1,88,8
"327",410,0.1,10,0
"328",563,0.1,63,3
"329",600,0.1,0,0
"330",457,0.1,57,7
"331",494,0.1,94,4
"332",511,0.1,11,1
"333",69,0.1,69,9
"334",171,0.1,71,1
"335",132,0.1,32,2
"336",225,0.1,25,5
"337",490,0.1,90,0
"338",271,0.1,71,1
"339",498,0.1,98,8
"340",284,0.1,84,4
"341",465,0.1,65,5
"342",545,0.1,45,5
"343",180,0.1,80,0
"344",137,0.1,37,7
"345",272,0.1,72,2
"346",615,0.1,15,5
"347",192,0.1,92,2
"348",502,0.1,2,2
"349",552,0.1,52,2
"350",123,0.1,23,3
"351",184,0.1,84,4
"352",542,0.1,42,2
"353",133,0.1,33,3
"354",559,0.1,59,9
"355",120,0.1,20,0
"356",194,0.1,94,4
"357",126,0.1,26,6
"358",596,0.1,96,6
"359",371,0.1,71,1
"360",510,0.1,10,0
"361",549,0.1,49,9
"362",599,0.1,99,9
"363",172,0.1,72,2
"364",300,0.1,0,0
"365",152,0.1,52,2
"366",313,0.1,13,3
"367",383,0.1,83,3
"368",593,0.1,93,3
"369",140,0.1,40,0
"370",298,0.1,98,8
"371",381,0.1,81,1
"372",312,0.1,12,2
"373",382,0.1,82,2
"374",70,0.1,70,0
"375",130,0.1,30,0
"376",311,0.1,11,1
"377",280,0.1,80,0
"378",384,0.1,84,4
"379",533,0.1,33,3
"380",67,0.1,67,7
"381",86,0.1,86,6
"382",89,0.1,89,9
"383",530,0.1,30,0
"384",612,0.1,12,2
"385",370,0.1,70,0
"386",562,0.1,62,2
"387",485,0.1,85,5
"388",143,0.1,43,3
"389",310,0.1,10,0
"390",299,0.1,99,9
"391",487,0.1,87,7
"392",301,0.1,1,1
"393",83,0.1,83,3
"394",372,0.1,72,2
"395",369,0.1,69,9
"396",539,0.1,39,9
"397",402,0.1,2,2
"398",408,0.1,8,8
"399",541,0.1,41,1
"400",556,0.1,56,6
"401",149,0.1,49,9
"402",488,0.1,88,8
"403",196,0.1,96,6
"404",486,0.1,86,6
"405",195,0.1,95,5
"406",409,0.1,9,9
"407",595,0.1,95,5
"408",544,0.1,44,4
"409",141,0.1,41,1
"410",117,0.1,17,7
"411",124,0.1,24,4
"412",274,0.1,74,4
"413",80,0.1,80,0
"414",602,0.1,2,2
"415",565,0.1,65,5
"416",154,0.1,54,4
"417",197,0.1,97,7
"418",540,0.1,40,0
"419",275,0.1,75,5
"420",273,0,73,3
"421",150,0,50,0
"422",558,0,58,8
"423",134,0,34,4
"424",87,0,87,7
"425",138,0,38,8
"426",509,0,9,9
"427",532,0,32,2
"428",529,0,29,9
"429",561,0,61,1
"430",304,0,4,4
"431",611,0,11,1
"432",153,0,53,3
"433",377,0,77,7
"434",379,0,79,9
"435",538,0,38,8
"436",142,0,42,2
"437",407,0,7,7
"438",548,0,48,8
"439",528,0,28,8
"440",84,0,84,4
"441",598,0,98,8
"442",592,0,92,2
"443",144,0,44,4
"444",376,0,76,6
"445",537,0,37,7
"446",72,0,72,2
"447",308,0,8,8
"448",374,0,74,4
"449",535,0,35,5
"450",375,0,75,5
"451",591,0,91,1
"452",173,0,73,3
"453",305,0,5,5
"454",610,0,10,0
"455",121,0,21,1
"456",71,0,71,1
"457",151,0,51,1
"458",378,0,78,8
"459",147,0,47,7
"460",302,0,2,2
"461",307,0,7,7
"462",174,0,74,4
"463",90,0,90,0
"464",303,0,3,3
"465",276,0,76,6
"466",306,0,6,6
"467",373,0,73,3
"468",175,0,75,5
"469",91,0,91,1
"470",531,0,31,1
"471",557,0,57,7
"472",507,0,7,7
"473",309,0,9,9
"474",508,0,8,8
"475",145,0,45,5
"476",206,0,6,6
"477",125,0,25,5
"478",380,0,80,0
"479",476,0,76,6
"480",406,0,6,6
"481",594,0,94,4
"482",155,0,55,5
"483",146,0,46,6
"484",471,0,71,1
"485",527,0,27,7
"486",536,0,36,6
"487",212,0,12,2
"488",88,0,88,8
"489",198,0,98,8
"490",472,0,72,2
"491",609,0,9,9
"492",590,0,90,0
"493",211,0,11,1
"494",210,0,10,0
"495",470,0,70,0
"496",475,0,75,5
"497",93,0,93,3
"498",484,0,84,4
"499",589,0,89,9
"500",73,0,73,3
"501",208,0,8,8
"502",608,0,8,8
"503",199,0,99,9
"504",92,0,92,2
"505",200,0,0,0
"506",506,0,6,6
"507",207,0,7,7
"508",482,0,82,2
"509",483,0,83,3
"510",176,0,76,6
"511",213,0,13,3
"512",469,0,69,9
"513",481,0,81,1
"514",94,0,94,4
"515",201,0,1,1
"516",474,0,74,4
"517",74,0,74,4
"518",202,0,2,2
"519",479,0,79,9
"520",95,0,95,5
"521",204,0,4,4
"522",473,0,73,3
"523",587,0,87,7
"524",75,0,75,5
"525",588,0,88,8
"526",203,0,3,3
"527",607,0,7,7
"528",586,0,86,6
"529",209,0,9,9
"530",480,0,80,0
"531",96,0,96,6
"532",477,0,77,7
"533",478,0,78,8
"534",205,0,5,5
"535",97,0,97,7
"536",585,0,85,5
"537",76,0,76,6
"538",606,0,6,6
